"About the data: Exported on Nov 04, 2022. Criteria: '""Management 5.0"" OR ""Supply Chain 5.0"" OR ((""Smart Supply Chain"" OR “Supply chain"" OR “Production” OR “Logistic” OR “Sourcing” OR “Manufacture” OR “Manufacturing”) AND (""Industry 5.0"" OR ""Fifth Industrial Revolution"" OR ""Society 5.0""))' in title and abstract; Publication Year is 2017 or 2018 or 2019 or 2020 or 2021 or 2022 or 2023; Publication Type is Edited Book or Proceeding or Chapter or Article. © 2022 Digital Science &amp; Research Solutions Inc. All rights reserved. Parts of this work may also be protected by copyright of content providers and other third parties, which together with all rights of Digital Science, user agrees not to violate. Redistribution / external use of this work (or parts thereof) is prohibited without prior written approval. Please contact info@dimensions.ai for further information.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rank,Publication ID,DOI,PMID,PMCID,Title,Abstract,Acknowledgements,Source title,Anthology title,MeSH terms,Publication Date,PubYear,Publication Date (online),Publication Date (print),Volume,Issue,Pagination,Open Access,Publication Type,Authors,Authors (Raw Affiliation),Corresponding Authors,Authors Affiliations,Times cited,Recent citations,RCR,FCR,Source Linkout,Dimensions URL,Fields of Research (ANZSRC 2020),Sustainable Development Goals
11537,pub.1134309234,10.12669/pjms.37.2.3387,33679956,PMC7931290,Is COVID-19 pushing us to the Fifth Industrial Revolution (Society 5.0)?,"The coronavirus disease 2019 (COVID-19) pandemic may further promote the development of Industry 4.0 leading to the fifth industrial revolution (Society 5.0). Industry 4.0 technology such as Big Data (BD) and Artificial Intelligence (AI) may lead to a personalized system of healthcare in Pakistan. The final bridge between humans and machines is Society 5.0, also known as the super-smart society that employs AI in healthcare manufacturing and logistics. In this communication, we review various Industry 4.0 and Society 5.0 technologies including robotics and AI being inspected to control the rate of transmission of COVID-19 globally. We demonstrate the applicability of advanced information technologies including AI, BD, and Information of Technology (IoT) to healthcare. Lastly, we discuss the evolution of Industry 4.0 to Society 5.0 given the impact of the COVID-19 pandemic in accordance with the technological strategies being considered and employed.",,Pakistan Journal of Medical Sciences,,,2021-02-04,2021,2021-02-04,2021,37,2,591-594,All OA; Gold,Article,"Sarfraz, Zouina; Sarfraz, Azza; Iftikar, Hamza Mohammad; Akhund, Ramsha","Sarfraz, Zouina (Zouina Sarfraz, Fatima Jinnah Medical University, Lahore, Pakistan); Sarfraz, Azza (Azza Sarfraz, Department of Pediatrics and Child Health, Aga Khan University, Karachi Pakistan); Iftikar, Hamza Mohammad (Hamza Mohammad Iftikar, Medical College, Aga Khan University, Karachi Pakistan); Akhund, Ramsha (Ramsha Akhund, Medical College, Aga Khan University, Karachi Pakistan)","Sarfraz, Azza (Aga Khan University)","Sarfraz, Zouina (Fatima Jinnah Medical University); Sarfraz, Azza (Aga Khan University); Iftikar, Hamza Mohammad (Aga Khan University); Akhund, Ramsha (Aga Khan University)",30,30,,,http://pjms.org.pk/index.php/pjms/article/download/3387/828,https://app.dimensions.ai/details/publication/pub.1134309234,32 Biomedical and Clinical Sciences; 42 Health Sciences,"3 Good Health and Well Being; 9 Industry, Innovation and Infrastructure"
9296,pub.1150863027,10.1186/s13677-022-00314-5,36101900,PMC9454409,"Future of industry 5.0 in society: human-centric solutions, challenges and prospective research areas","Industry 4.0 has been provided for the last 10 years to benefit the industry and the shortcomings; finally, the time for industry 5.0 has arrived. Smart factories are increasing the business productivity; therefore, industry 4.0 has limitations. In this paper, there is a discussion of the industry 5.0 opportunities as well as limitations and the future research prospects. Industry 5.0 is changing paradigm and brings the resolution since it will decrease emphasis on the technology and assume that the potential for progress is based on collaboration among the humans and machines. The industrial revolution is improving customer satisfaction by utilizing personalized products. In modern business with the paid technological developments, industry 5.0 is required for gaining competitive advantages as well as economic growth for the factory. The paper is aimed to analyze the potential applications of industry 5.0. At first, there is a discussion of the definitions of industry 5.0 and advanced technologies required in this industry revolution. There is also discussion of the applications enabled in industry 5.0 like healthcare, supply chain, production in manufacturing, cloud manufacturing, etc. The technologies discussed in this paper are big data analytics, Internet of Things, collaborative robots, Blockchain, digital twins and future 6G systems. The study also included difficulties and issues examined in this paper head to comprehend the issues caused by organizations among the robots and people in the assembly line.",The authors would like to thank the anonymous reviewers for their insightful comments and suggestions on improving this paper.,Journal of Cloud Computing,,,2022-09-08,2022,2022-09-08,2022,11,1,40,All OA; Gold,Article,"Adel, Amr","Adel, Amr (Yoobee College of Creative Technologies, School of Technology, Auckland, New Zealand)","Adel, Amr ","Adel, Amr ()",0,0,,,https://journalofcloudcomputing.springeropen.com/counter/pdf/10.1186/s13677-022-00314-5,https://app.dimensions.ai/details/publication/pub.1150863027,46 Information and Computing Sciences; 4606 Distributed Computing and Systems Software,"9 Industry, Innovation and Infrastructure"
7996,pub.1148448344,10.1016/j.jor.2022.06.001,35707297,PMC9190000,Industry 5.0 technology capabilities in Trauma and Orthopaedics,"Background: The fifth industrial revolution, which is also known as Industry 5.0, involves the interaction of human intelligence and cognitive computing to deliver personalised products. Industry 5.0 is an advancement on the inherent pillars of Industry 4.0 revolution with the 'Personalisation of Automation and Efficiency'.
Aims: In this article, we explore the evolution of the Industry 5.0 revolution in the branch of trauma and orthopaedics. We highlight the interface of human intelligence, Robotic technology, and Smart machine systems in the development of personalised care for patients with orthopaedic conditions.
Methods: A comprehensive search strategy was conducted using databases of Embase, PubMed, Google Scholar and ResearchGate to discover the suitable literature published till March 2022 on the subject. The keywords used for the search included ""Industry 5.0"" and ""Orthopaedics"" to identify the appropriate literature and prepare this narrative review.
Results: Industry 5.0 revolution appears to have made significant expansion on Industry 4.0 enabled technologies. Innovations in computer technology, implant designs, orthopaedic research, increased collaboration between humans, Robots and smart systems have led to multiple inventions. Industry 5.0 has led to the development of patient-specific implants, instruments, and devices in the sub-specialty of trauma and orthopaedics.
Conclusion: Evolution of Industry 5.0 has paved the way to introduce personalised products in the diagnosis, treatment, and management of a spectrum of orthopaedic pathologies. By enabling automation and enhancing labour efficiency, Industry 5.0 has made it possible to engineer patient-specific tools, instruments and implants to improve clinical, functional, and Patient Related Outcome Measures (PROMs).",None.,Journal of Orthopaedics,,,2022-06-06,2022,2022-06-06,2022-07,32,,125-132,Closed,Article,"Iyengar, Karthikeyan P; Zaw Pe, Eindere; Jalli, Janaranjan; Shashidhara, Madapura K; Jain, Vijay K; Vaish, Abhishek; Vaishya, Raju","Iyengar, Karthikeyan P (Trauma and Orthopaedic Surgeon, Southport and Ormskirk NHS Trust, Southport, PR8 6PN, UK.); Zaw Pe, Eindere (Department of Orthopaedics, Aintree University Hospital, Lower Lane, Fazakerley, Liverpool, L9 7AL, UK.); Jalli, Janaranjan (Dorset County Hospital NHS Foundation Trust, Williams Ave, Dorchester, DT1 2JY, UK.); Shashidhara, Madapura K (Department of Anaesthesiology, Stockport NHS Foundation NHS Trust, Stepping Hill Hospital, Poplar Grove, Hazel Grove, Stockport, SK2 7JE, UK.); Jain, Vijay K (Department of Orthopaedics, Atal Bihari Vajpayee Institute of Medical Sciences, Dr Ram Manohar Lohia Hospital, New Delhi, 110001, India.); Vaish, Abhishek (Department of Orthopaedics, Indraprastha Apollo Hospital, Sarita Vihar, Mathura Road, 110076, New Delhi, India.); Vaishya, Raju (Department of Orthopaedics, Indraprastha Apollo Hospital, Sarita Vihar, Mathura Road, 110076, New Delhi, India.)","Iyengar, Karthikeyan P ","Iyengar, Karthikeyan P (); Zaw Pe, Eindere (Aintree University Hospital); Jalli, Janaranjan (Dorset County Hospital NHS Foundation Trust); Shashidhara, Madapura K (Stepping Hill Hospital); Jain, Vijay K (Dr. Ram Manohar Lohia Hospital); Vaish, Abhishek (Indraprastha Apollo Hospitals); Vaishya, Raju (Indraprastha Apollo Hospitals)",1,1,,,,https://app.dimensions.ai/details/publication/pub.1148448344,32 Biomedical and Clinical Sciences; 3202 Clinical Sciences,"9 Industry, Innovation and Infrastructure"
5717,pub.1150429406,10.1007/s43465-022-00712-6,36187596,PMC9485301,Industry 5.0 in Orthopaedics,"BackgroundIndustrial revolutions play a major role in the development of technologies in various fields. Currently, the world is marching towards softwarization and digitalization. There is an emerging need for conversion of Industry 4.0 to Industry 5.0 for technological development and implementation of the same in the digital era. In health care, digitalization emerged in Industry 4.0 revolution. To enhance patient care and quality of life, Industry 5.0 plays a major role in providing patient-centric care and customization and personalization of products. The integration of human intelligence with artificial intelligence provides a precise diagnosis and enhances the recovery and functional outcome of the patients.Materials and methodsIn this manuscript, the domains and limitations of Industry 5.0 and further research on Industry 6.0 were elaborated on to bring out technologies in better health care.ResultsIndustry 5.0 lessens the work of medical professionals and integrates software-based diagnosis and management. It provides cost-effective manufacturing solutions with limited resources compared to Industry 4.0. Industry 5.0 focuses on SMART and additive manufacturing of implants, and the development of bio-scaffolds, prosthetics, and instruments. In this manuscript, the domains and limitations of Industry 5.0 and further research on Industry 6.0 were elaborated on to bring out technologies in better health care.Conclusion‘The personalization and customization of products’ are the hallmarks of this evolving Industry 5.0 revolution. The major uplifts in various domains of industry 5.0 such as advanced automation, digitalization, collaborative robots, and personalization bring this an inevitable mechano-scientific technological revolution in this current medical era.",,Indian Journal of Orthopaedics,,,2022-08-23,2022,2022-08-23,2022-10,56,10,1694-1702,All OA; Gold,Article,"Jeyaraman, Madhan; Nallakumarasamy, Arulkumar; Jeyaraman, Naveen","Jeyaraman, Madhan (Department of Orthopaedics, Faculty of Medicine, Sri Lalithambigai Medical College and Hospital, Dr MGR Educational and Research Institute, 600095, Chennai, Tamil Nadu, India; South Texas Orthopaedic Research Institute (STORI Inc.), 78045, Laredo, TX, USA); Nallakumarasamy, Arulkumar (Department of Orthopaedics, All India Institute of Medical Sciences, 751019, Bhubaneswar, Odisha, India); Jeyaraman, Naveen (Department of Orthopaedics, Atlas Hospitals, 620002, Tiruchirappalli, Tamil Nadu, India)","Nallakumarasamy, Arulkumar (All India Institute of Medical Sciences)","Jeyaraman, Madhan (Dr. M.G.R. Educational and Research Institute); Nallakumarasamy, Arulkumar (All India Institute of Medical Sciences); Jeyaraman, Naveen ()",0,0,,,http://dx.doi.org/10.1007/s43465-022-00712-6,https://app.dimensions.ai/details/publication/pub.1150429406,32 Biomedical and Clinical Sciences; 3202 Clinical Sciences,"3 Good Health and Well Being; 9 Industry, Innovation and Infrastructure"
4980,pub.1145097444,10.1016/j.cie.2022.107967,35136280,PMC8800559,CoVAC: A P2P smart contract-based intelligent smart city architecture for vaccine manufacturing,"With the Corona Virus Disease 2019 (COVID-19) outbreak, vaccination is an urgent need worldwide. Internet of Things (IoT) has a vital role in the smart city for vaccine manufacturing with wearable sensors. According to the advanced services in intelligent manufacturing, the fourth resolution is also changing in Industry 5.0 and utilizes high-definition connectivity sensors. Traditional manufacturing companies rely on trusted third parties, which may act as a single point of failure. Access control, big data, and scalability are also challenging issues in existing systems because of the demand response data (DRD) in advanced manufacturing. To mitigate these challenges, CoVAC: A P2P Smart Contract-based Intelligent Smart City Architecture for Vaccine Manufacturing is proposed with three layers, including connection, conversion, and intelligent cloud layer. Smart contract-based blockchain is utilized at the conversion layer for resolving access control, security, and privacy issues. Deep learning is adopted in the intelligent cloud layer for big data analysis and increasing production for vaccine manufacturing in smart city environments. A case study is carried out wherein access data are collected from the various smart plants for vaccines using smart manufacturing to validate the effectiveness of the proposed architecture. Simulation of the proposed architecture is performed on the collected advanced sensor IoT plants data to address the challenges above, offering scalable production in the vaccine manufacturing for the smart city.","This research was supported by Energy Cloud RD Program (2019M3F2A1073386) through the NRF (National Research Foundation of Korea), both funded by the Ministry of Science and ICT.",Computers & Industrial Engineering,,,2022-01-29,2022,2022-01-29,2022-04,166,,107967,All OA; Bronze,Article,"Singh, Sushil Kumar; Lee, Changhoon; Park, Jong Hyuk","Singh, Sushil Kumar (Department of Computer Science and Engineering, Seoul National University of Science and Technology, (SeoulTech), Seoul 01811, Republic of Korea.); Lee, Changhoon (Department of Computer Science and Engineering, Seoul National University of Science and Technology, (SeoulTech), Seoul 01811, Republic of Korea.); Park, Jong Hyuk (Department of Computer Science and Engineering, Seoul National University of Science and Technology, (SeoulTech), Seoul 01811, Republic of Korea.)","Park, Jong Hyuk (Seoul National University of Science and Technology)","Singh, Sushil Kumar (Seoul National University of Science and Technology); Lee, Changhoon (Seoul National University of Science and Technology); Park, Jong Hyuk (Seoul National University of Science and Technology)",1,1,,,https://doi.org/10.1016/j.cie.2022.107967,https://app.dimensions.ai/details/publication/pub.1145097444,40 Engineering; 4014 Manufacturing Engineering; 46 Information and Computing Sciences; 4604 Cybersecurity and Privacy; 4605 Data Management and Data Science; 4606 Distributed Computing and Systems Software,"3 Good Health and Well Being; 9 Industry, Innovation and Infrastructure"
4970,pub.1144253745,10.3390/s22010190,35009732,PMC8749629,A Layered Middleware for OT/IT Convergence to Empower Industry 5.0 Applications,"We are still in the midst of Industry 4.0 (I4.0), with more manufacturing lines being labeled as smart thanks to the integration of advanced ICT in Cyber-Physical Systems (CPS). While I4.0 aims to provision cognitive CPS systems, the nascent Industry 5.0 (I5.0) era goes a step beyond, aiming to build cross-border, sustainable, and circular value chains benefiting society as a whole. An enabler of this vision is the integration of data and AI in the industrial decision-making process, which does not exhibit yet a coordination between the Operation and Information Technology domains (OT/IT). This work proposes an architectural approach and an accompanying software prototype addressing the OT/IT convergence problem. The approach is based on a two-layered middleware solution, where each layer aims to better serve the specific differentiated requirements of the OT and IT layers. The proposal is validated in a real testbed, employing actual machine data, showing the capacity of the components to gracefully scale and serve increasing data volumes.",,Sensors,,Industry; Information Technology; Software,2021-12-28,2021,2021-12-28,,22,1,190,All OA; Gold,Article,"Patera, Lorenzo; Garbugli, Andrea; Bujari, Armir; Scotece, Domenico; Corradi, Antonio","Patera, Lorenzo (Department of Computer Science and Engineering (DISI), University of Bologna, Viale Risorgimento 2, 40136 Bologna, Italy.); Garbugli, Andrea (Department of Computer Science and Engineering (DISI), University of Bologna, Viale Risorgimento 2, 40136 Bologna, Italy.); Bujari, Armir (Department of Computer Science and Engineering (DISI), University of Bologna, Viale Risorgimento 2, 40136 Bologna, Italy.); Scotece, Domenico (Department of Computer Science and Engineering (DISI), University of Bologna, Viale Risorgimento 2, 40136 Bologna, Italy.); Corradi, Antonio (Department of Computer Science and Engineering (DISI), University of Bologna, Viale Risorgimento 2, 40136 Bologna, Italy.)","Corradi, Antonio (University of Bologna)","Patera, Lorenzo (University of Bologna); Garbugli, Andrea (University of Bologna); Bujari, Armir (University of Bologna); Scotece, Domenico (University of Bologna); Corradi, Antonio (University of Bologna)",6,6,,,https://www.mdpi.com/1424-8220/22/1/190/pdf?version=1640757230,https://app.dimensions.ai/details/publication/pub.1144253745,40 Engineering; 4014 Manufacturing Engineering,"9 Industry, Innovation and Infrastructure"
4874,pub.1140607067,10.3934/mbe.2021349,34517569,,Industry 5.0: Ethereum blockchain technology based DApp smart contract.,"The use of advanced technologies has increased drastically to maintain any sensitive records related to education, health, or finance. It helps to protect the data from unauthorized access by attackers. However, all the existing advanced technologies face some issues because of their uncertainties. These technologies have some lapses to provide privacy, attack-free, transparency, reliability, and flexibility. These characteristics are essential while managing any sensitive data like educational certificates or medical certificates. Hence, we designed an Industry 5.0 based blockchain application to manage medical certificates using Remix Ethereum blockchain in this paper. This application also employs a distributed application (DApp) that uses a test RPC-based Ethereum blockchain and user expert system as a knowledge agent. The main strength of this work is the maintenance of existing certificates over a blockchain with the creation of new certificates that use logistic Map encryption cipher on existing medical certificates while uploading into the blockchain. This application helps to quickly analyze the birth, death, and sick rate as per certain features like location and year.",,Mathematical Biosciences and Engineering,,Blockchain; Privacy; Reproducibility of Results; Technology,2021,2021,,2021,18,5,7010-7027,All OA; Gold,Article,"Rupa, Ch; Midhunchakkaravarthy, Divya; Hasan, Mohammad Kamrul; Alhumyani, Hesham; Saeed, Rashid A","Rupa, Ch (Department of Computer Science and Engineering, Lincoln University College, Malaysia.); Midhunchakkaravarthy, Divya (Department of Computer Science and Multimedia, Lincoln University College, Malaysia.); Hasan, Mohammad Kamrul (Center for Cyber Security, Faculty of Information Science and Technology, Universiti Kebangsaan Malaysia, Bangi 43600, Selangor, Malaysia.); Alhumyani, Hesham (Department of Computer Engineering, College of Computers and Information Technology, Taif University, P. O. Box 11099, Taif 21944, Saudi Arabia.); Saeed, Rashid A (Department of Computer Engineering, College of Computers and Information Technology, Taif University, P. O. Box 11099, Taif 21944, Saudi Arabia.)",,"Rupa, Ch (Lincoln University College); Midhunchakkaravarthy, Divya (Lincoln University College); Hasan, Mohammad Kamrul (National University of Malaysia); Alhumyani, Hesham (Taif University); Saeed, Rashid A (Taif University)",12,12,,,https://doi.org/10.3934/mbe.2021349,https://app.dimensions.ai/details/publication/pub.1140607067,40 Engineering; 4004 Chemical Engineering; 49 Mathematical Sciences; 4901 Applied Mathematics,4 Quality Education
4642,pub.1137267546,10.1590/0001-3765202120191290,33886700,,Technological competitiveness and emerging technologies in industry 4.0 and industry 5.0,"Technological competitiveness and emerging technologies are more necessary in the organizational strategy to cope with industrial advances and improve the nation's economy. In this sense, technological innovation, computational developments, smart devices, and other technologies are shaping the new industrial revolutions. Therefore, the technological competitiveness and emerging technologies of industry 4.0 and industry 5.0 are holistically analyzed to identify the key elements of developed economies and emerging economies. For this, we used a bibliometric analysis with Biblioshiny, a systematic review of the literature and a content analysis. The results in terms of technological competitiveness in developed economies show the importance of the competences and engineering skills in the personnel approach; R+D+i and the supply chain in the organizational approach; and the use of emerging technologies such as the internet of things and big data. The comparison with emerging economies indicates the importance of key elements such as training and education, and skills in the personnel approach; sustainability and structure in the organizational approach; and emerging technologies such as the internet of things and digitalization.",We would like to thank Conacyt for financial support in postdoctoral stay 2018.,Anais da Academia Brasileira de Ciências,,Industry; Inventions; Technology,2021,2021,2021,,93,1,e20191290,All OA; Gold,Article,"Alvarez-Aros, Erick L; Bernal-Torres, César A","Alvarez-Aros, Erick L (Universidad Popular Autónoma del Estado de Puebla, Decanato de Posgrados en Ingenierías y Negocios, Posgrados en Planeación Estratégica y Dirección de Tecnología, 17 Sur, 901, Barrio de Santiago, 72410, Puebla, Puebla, México.); Bernal-Torres, César A (2Universidad de La Sabana, Escuela Internacional de Ciencias Económicas y Administrativas, Campus del Puente del Común, Km 7, Autopista Norte de Bogotá, 250001, Chía, Cundinamarca, Colombia.)",,"Alvarez-Aros, Erick L (Universidad Popular Autónoma del Estado de Puebla); Bernal-Torres, César A (University of La Sabana)",9,9,,,http://www.scielo.br/j/aabc/a/YG9sF86HVgDWSBQB5BKvLrb/?format=pdf&lang=en,https://app.dimensions.ai/details/publication/pub.1137267546,"35 Commerce, Management, Tourism and Services; 3507 Strategy, Management and Organisational Behaviour","9 Industry, Innovation and Infrastructure"
4601,pub.1140793055,10.3390/s21175745,34502637,PMC8434294,Green IoT and Edge AI as Key Technological Enablers for a Sustainable Digital Transition towards a Smart Circular Economy: An Industry 5.0 Use Case,"Internet of Things (IoT) can help to pave the way to the circular economy and to a more sustainable world by enabling the digitalization of many operations and processes, such as water distribution, preventive maintenance, or smart manufacturing. Paradoxically, IoT technologies and paradigms such as edge computing, although they have a huge potential for the digital transition towards sustainability, they are not yet contributing to the sustainable development of the IoT sector itself. In fact, such a sector has a significant carbon footprint due to the use of scarce raw materials and its energy consumption in manufacturing, operating, and recycling processes. To tackle these issues, the Green IoT (G-IoT) paradigm has emerged as a research area to reduce such carbon footprint; however, its sustainable vision collides directly with the advent of Edge Artificial Intelligence (Edge AI), which imposes the consumption of additional energy. This article deals with this problem by exploring the different aspects that impact the design and development of Edge-AI G-IoT systems. Moreover, it presents a practical Industry 5.0 use case that illustrates the different concepts analyzed throughout the article. Specifically, the proposed scenario consists in an Industry 5.0 smart workshop that looks for improving operator safety and operation tracking. Such an application case makes use of a mist computing architecture composed of AI-enabled IoT nodes. After describing the application case, it is evaluated its energy consumption and it is analyzed the impact on the carbon footprint that it may have on different countries. Overall, this article provides guidelines that will help future developers to face the challenges that will arise when creating the next generation of Edge-AI G-IoT systems.","The authors would like to thank CITIC for its support for the research stay that led to this article. CITIC, as Research Center accredited by Galician University System, is funded by “Consellería de Cultura, Educación e Universidades from Xunta de Galicia”, supported in an 80% through ERDF Funds, ERDF Operational Programme Galicia 2014-2020, and the remaining 20% by “Secretaría Xeral de Universidades” (Grant ED431G 2019/01).",Sensors,,"Artificial Intelligence; Diagnostic Tests, Routine; Industry; Internet of Things; Technology",2021-08-26,2021,2021-08-26,,21,17,5745,All OA; Gold,Article,"Fraga-Lamas, Paula; Lopes, Sérgio Ivan; Fernández-Caramés, Tiago M.","Fraga-Lamas, Paula (Department of Computer Engineering, Faculty of Computer Science, Universidade da Coruña, 15071 A Coruña, Spain;, tiago.fernandez@udc.es; Centro de Investigación CITIC, Universidade da Coruña, 15071 A Coruña, Spain); Lopes, Sérgio Ivan (ADiT-Lab, Instituto Politécnico de Viana do Castelo, Rua da Escola Industrial e Comercial de Nun’Alvares, 4900-347 Viana do Castelo, Portugal;, sil@estg.ipvc.pt; IT—Instituto de Telecomunicações, Campus Universitário de Santiago, 3810-193 Aveiro, Portugal); Fernández-Caramés, Tiago M. (Department of Computer Engineering, Faculty of Computer Science, Universidade da Coruña, 15071 A Coruña, Spain;, tiago.fernandez@udc.es; Centro de Investigación CITIC, Universidade da Coruña, 15071 A Coruña, Spain)","Fraga-Lamas, Paula (University of A Coruña; University of A Coruña)","Fraga-Lamas, Paula (University of A Coruña; University of A Coruña); Lopes, Sérgio Ivan (Polytechnic Institute of Viana do Castelo; University of Aveiro); Fernández-Caramés, Tiago M. (University of A Coruña; University of A Coruña)",21,21,,,https://www.mdpi.com/1424-8220/21/17/5745/pdf,https://app.dimensions.ai/details/publication/pub.1140793055,46 Information and Computing Sciences; 4608 Human-Centred Computing,"12 Responsible Consumption and Production; 9 Industry, Innovation and Infrastructure"
4231,pub.1141884444,10.1007/s11356-021-16962-0,34648164,,Understanding the barriers to sustainable solid waste management in society 5.0 under uncertainties: a novelty of socials and technical perspectives on performance driving,"This study contributes to identifying a valid and reliable set of barriers to sustainable solid waste management framework rooted in society 5.0 perspectives in Taiwan. The SSWM-related causal interrelationships within the proposed hierarchical structure, and critical barriers for the practical improvement and enhancement of SSWM performance are identified as preference enriching both literature and practices. In nature, the hierarchical structure is with the causal interrelationships under uncertainties. The perspective empowers the creation of a new biosphere based on technological progress, but in the sustainable solid waste management field, it is difficult to encounter and shape the systematized processes due to barriers and challenges. To address this shortcoming, this study evaluates the technical challenges faced in the field of sustainable solid waste management toward society 5.0. The valid attributes are usually described the qualitative information. The fuzzy Delphi method is applied to acquire the valid and reliable attributes. Fuzzy decision-making trial and evaluation laboratory experiment is to visualize the causal interrelationships among the attributes. Choquet integral with respect to the nonadditive attributes over the valid set provides an overall perspective function. The results establish an understanding of sustainable solid waste management barriers in the perspectives under uncertainties. Community uncertainty, policy and regulation problems, city architecture, and technology interaction are the factors that influence sustainable performance. In practices, (1) diverse disciplines and sectors in local, national, and global communities; (2) a lack of mobility and reliability; (3) mass production and mass consumption; (4) an insufficient level of artificial intelligence application; and (5) failures related to data management and security hinder the improvement of sustainable solid waste management toward society 5.0. The social and technical perspectives are indicated as the top priorities to improve SSWM performance.",,Environmental Science and Pollution Research,,Artificial Intelligence; Refuse Disposal; Reproducibility of Results; Solid Waste; Uncertainty; Waste Management,2021-10-14,2021,2021-10-14,2022-03,29,11,16265-16293,Closed,Article,"Bui, Tat-Dat; Tseng, Ming-Lang","Bui, Tat-Dat (Institute of Innovation and Circular Economy, Asia University, Taichung, Taiwan); Tseng, Ming-Lang (Institute of Innovation and Circular Economy, Asia University, Taichung, Taiwan; Department of Medical Research, China Medical University Hospital, China Medical University, Taichung, Taiwan)","Tseng, Ming-Lang (Asian University; )","Bui, Tat-Dat (Asian University); Tseng, Ming-Lang (Asian University)",9,9,,,,https://app.dimensions.ai/details/publication/pub.1141884444,"35 Commerce, Management, Tourism and Services; 3507 Strategy, Management and Organisational Behaviour",11 Sustainable Cities and Communities; 12 Responsible Consumption and Production
