id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1	addition	-0.7289	-0.353	1	29	53	8	2021
2	area	-0.4967	-0.4665	1	28	71	14	2021.2857
3	blockchain	1.076	0.0629	2	23	89	8	2021.375
4	center	-1.1243	-0.3117	1	16	29	7	2021.4286
5	collaboration	-0.6828	0.3261	1	27	58	14	2021.9286
6	company	-0.4074	0.3299	1	31	55	10	2021.5
7	condition	-0.4872	-0.3807	1	28	54	9	2020.7778
8	contribution	-0.0819	0.7274	1	18	33	7	2022.1429
9	digital transformation	0.4404	0.3312	2	35	111	10	2021.4
10	direction	-0.1268	-0.4449	1	33	80	13	2021.3077
11	economy	-0.5577	-0.2433	1	30	60	11	2020.9091
12	energy	0.9335	-0.0762	2	24	90	7	2021.2857
13	engineer	0.9871	0.5032	2	20	80	7	2021.4286
14	era	0.9464	0.3958	2	22	85	8	2021.25
15	expert	-0.6383	0.6406	1	16	35	7	2021.8571
16	human	-0.4747	0.4117	1	38	105	21	2021.7143
17	impact	-0.3352	0.0135	1	37	84	12	2021
18	implementation	-0.3654	-0.4214	1	30	67	9	2021.3333
19	influence	-1.1906	-0.01	1	13	22	9	2021.4444
20	innovation	-0.4551	0.0848	1	34	100	20	2021.3
21	internet	0.0795	-0.722	3	31	68	11	2021.0909
22	lack	-0.2081	-0.0018	1	31	62	9	2021.7778
23	manufacturing planning	1.3587	0.0432	2	18	80	8	2021.375
24	operations management	1.0567	-0.2941	2	23	96	9	2021.4444
25	pandemic	-0.0264	0.0791	1	26	51	9	2021.8889
26	platform	0.6763	0.0302	2	35	102	10	2021.4
27	possibility	-0.418	0.8607	1	12	26	8	2020.875
28	principle	0.03	-0.0152	1	29	58	8	2021.375
29	production process	-0.5341	-0.6304	1	26	52	7	2021.2857
30	production system	1.1555	0.4251	2	19	82	7	2021.2857
31	productivity	-0.8098	-0.0142	1	33	77	13	2021.0769
32	requirement	0.0865	-0.4113	1	29	57	9	2021.3333
33	resilient industry	-0.8263	0.4732	1	16	30	7	2022.1429
34	risk	0.5853	-0.0295	2	29	104	13	2020.8462
35	robotic	0.6298	-0.3963	2	33	114	9	2020.8889
36	simulation	0.6652	-0.4803	2	32	115	11	2021.3636
37	smart manufacturing	0.6633	-0.1645	2	35	98	9	2021.2222
38	study	-0.8148	0.1047	1	35	94	19	2021.2105
39	supply chain management	1.0063	-0.3476	2	23	91	9	2021.4444
40	sustainable development	-0.4913	-0.0506	1	29	61	9	2021.8889
41	thing	-0.0546	-0.668	3	29	51	8	2020.75
42	transition	-0.2586	0.453	1	29	67	13	2021.7692
43	uncertainty	0.5333	0.345	2	33	100	10	2020.6
44	work	-0.3149	0.2923	1	33	67	17	2021.4118
