id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1	ability	-0.3399	0.8687	1	72	180	19	2020.8947
2	action	-0.1425	0.6973	1	72	174	22	2020.8182
3	additive manufacturing	1.3024	0.1414	2	52	229	13	2020.9231
4	adoption	-0.0226	-0.5489	3	71	149	20	2021.3
5	advance	0.4373	-0.107	2	91	481	33	2021.1212
6	attention	-0.4086	0.7901	1	74	174	20	2021.15
7	basis	-0.5925	0.3304	1	80	252	26	2020.9615
8	blockchain	0.7057	0.3757	2	80	411	30	2021.3333
9	business	-0.2173	-0.5003	1	95	306	28	2020.8929
10	business model	-0.9327	-0.1974	1	76	254	23	2021.1304
11	capability	0.1023	-0.2534	3	82	212	27	2021.6667
12	center	-0.4098	-0.404	1	62	131	13	2021.3077
13	challenges	0.0531	0.7594	1	49	146	15	2021.7333
14	change	-0.6009	-0.2365	1	104	625	59	2021.1864
15	circular economy	-0.2	-1.1261	3	43	113	17	2021.6471
16	classification	1.2489	-0.1736	2	61	264	13	2021.3846
17	cobot	0.2278	-0.9782	3	46	88	13	2021.7692
18	communication	-0.0128	-0.36	3	84	229	25	2021.48
19	condition	-0.7307	0.3798	1	96	296	29	2021
20	connection	-0.3028	0.6357	1	66	158	15	2021
21	control	0.7423	-0.1532	2	86	395	34	2021.3529
22	covid	0.3273	0.6652	2	89	384	26	2021.3846
23	creation	-0.7922	-0.3734	1	83	299	33	2020.8182
24	customer	-0.6825	-0.8512	3	52	114	13	2020.6154
25	cyber physical system	0.2627	-0.5538	3	71	256	26	2021.0769
26	difference	-0.6591	-0.1566	1	70	146	22	2020.8636
27	digital technology	-0.3303	-0.7659	3	81	212	19	2021.1053
28	digital transformation	0.5741	0.1331	2	102	505	35	2021.4571
29	digital twin	0.6206	-0.3535	2	89	394	27	2021.5556
30	digitalization	-0.4824	-0.5104	1	81	243	23	2021.1304
31	direction	-0.2169	0.4502	1	88	317	33	2021
32	driver	-0.1074	0.3219	1	78	224	21	2021.1429
33	economy	-0.7363	-0.1901	1	97	369	42	2020.5714
34	education	-0.2032	0.7855	1	81	280	40	2020.675
35	effect	-0.8437	-0.2237	1	76	220	29	2020.5517
36	emergence	-0.533	0.1022	1	71	143	13	2021.2308
37	energy	0.3189	0.1568	2	97	474	29	2020.931
38	engineer	0.8794	0.538	2	69	279	14	2021.3571
39	engineering	0.642	0.6546	2	79	324	30	2020.9667
40	expert	-0.652	0.184	1	77	189	19	2021.5263
41	factory	0.6942	-0.45	2	92	415	33	2020.9697
42	fifth industrial revolution	-0.8826	-0.4022	1	62	163	16	2020.4375
43	foundation	-0.095	0.2033	1	61	182	19	2021.4737
44	fourth industrial revolution	-0.4466	0.2567	1	87	352	36	2020.6389
45	goal	-0.605	-0.5686	1	88	298	34	2020.9412
46	government	-0.8871	0.2581	1	85	274	25	2020.32
47	human factor	0.3217	-0.4251	3	55	132	14	2021.3571
48	ict	-0.2146	-0.3088	3	60	122	15	2021.2667
49	impact	-0.5205	-0.1303	1	105	627	79	2021
50	implication	-0.2161	-0.5671	1	86	222	23	2021.087
51	importance	-0.3891	0.5365	1	87	338	32	2020.9062
52	improvement	0.5211	-0.0083	2	97	452	33	2021.2727
53	industrial revolution	-0.5367	-0.4066	1	94	358	41	2020.8293
54	influence	-0.3166	-0.512	3	43	84	18	2021.3333
55	internet	0.1284	-0.433	3	102	556	56	2021.1071
56	iot	0.169	-0.7707	3	94	384	40	2021.275
57	knowledge	-0.5893	0.4526	1	97	393	46	2020.6739
58	learning	0.4958	0.4263	2	90	396	31	2021.0323
59	life	-0.8946	-0.0735	1	89	341	39	2020.359
60	logistic	0.8776	-0.1009	2	82	286	20	2021.35
61	machine learning	0.322	-0.5662	3	54	123	13	2021.1538
62	manufacturing	0.4826	-0.1753	2	103	727	79	2021.2278
63	manufacturing system	0.8644	0.1432	2	87	420	37	2021.1351
64	mass customization	1.158	-0.3946	2	58	265	16	2020.75
65	nature	-0.1463	-0.0225	1	77	201	21	2020.9048
66	new technology	-0.7998	-0.0278	1	70	159	14	2020.9286
67	operation	0.501	-0.3735	2	98	460	35	2021.4857
68	operations management	1.1962	0.5084	2	59	276	16	2021.5
69	operator	0.7531	-0.5334	2	86	425	33	2021.3939
70	opportunity	-0.8674	0.0441	1	95	448	47	2021.2128
71	optimization	0.8977	-0.4613	2	82	383	29	2021.4483
72	organization	-0.7869	0.062	1	96	482	51	2020.9216
73	pandemic	-0.6798	0.8155	1	66	201	18	2021.4444
74	paradigm	0.4199	0.0682	2	103	563	47	2021.1064
75	person	-0.6336	-0.3186	1	92	346	45	2020.6
76	policy	-0.8286	0.1999	1	80	270	25	2021.08
77	possibility	-0.5518	0.0028	1	77	216	23	2021.3043
78	potential	0.087	0.0874	1	81	234	29	2021.0345
79	practice	-0.1925	0.6181	1	73	219	39	2020.7692
80	priority	-0.1147	0.6559	1	76	217	21	2021.2381
81	production management	1.4368	0.3463	2	46	222	12	2020.8333
82	production system	0.8641	-0.266	2	73	306	19	2021.1579
83	quality	0.2699	0.2941	2	98	470	37	2020.5946
84	relationship	-0.8843	0.4454	1	79	274	36	2020.9167
85	resilience	0.4696	0.5678	2	92	414	33	2021.4545
86	revolution	-0.4615	-0.5831	1	88	330	36	2020.7222
87	risk	0.432	0.462	2	95	412	26	2020.8846
88	robot	0.5478	-0.5837	2	98	493	42	2021
89	robotic	0.5262	-0.3001	2	102	530	39	2020.8462
90	scheduling	1.4828	0.2318	2	49	242	16	2021.0625
91	science	-0.6467	0.4507	1	88	282	30	2020.5333
92	sensor	-0.078	-0.844	3	80	237	24	2021.25
93	simulation	1.0597	-0.3471	2	78	377	31	2021.6452
94	skill	-0.299	0.4013	1	83	285	28	2020.8571
95	smart manufacturing	1.0323	-0.0666	2	82	378	30	2021.2333
96	strategy	-0.4378	0.4686	1	100	551	53	2020.9434
97	student	-0.7418	0.5771	1	57	111	18	2020.1667
98	supply chain	0.3323	0.3961	2	98	528	50	2021.48
99	support	0.5932	0.4716	2	88	313	24	2021
100	sustainable development	-0.2915	0.1599	1	97	421	38	2021.3947
101	sustainable development goal	-0.4459	0.7852	1	72	195	20	2021.2
102	sustainable manufacturing	1.1175	0.3782	2	63	284	14	2021.3571
103	technique	0.5523	0.3148	2	94	461	41	2021.0244
104	technological innovation	-0.9983	0.2366	1	75	220	17	2020.5294
105	thing	0.197	-0.4908	3	98	506	52	2021.1731
106	training	-0.0084	0.5492	1	61	126	17	2021.0588
107	transition	-0.4236	-0.2372	1	91	349	38	2021.2632
108	uncertainty	0.5697	0.543	2	80	307	20	2020.9
109	understanding	-0.4572	-0.2882	1	68	193	25	2020.64
110	user	-0.259	-0.6572	3	65	139	17	2020.7647
111	worker	-0.0371	-0.6771	1	74	237	30	2020.8333
