id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1	additive manufacturing	0.6408	0.6444	2	57	228	11	2020.5455
2	advance	0.7116	-0.2676	2	60	243	15	2020.7333
3	big data	-0.2199	0.6906	1	60	181	18	2020.3333
4	blockchain	0.2738	-0.4179	2	72	327	20	2021.4
5	capability	-0.5254	-0.0632	1	75	206	27	2021.3333
6	center	-0.1594	-0.3396	1	58	153	19	2021.4211
7	classification	1.4497	0.0674	2	43	208	9	2021.3333
8	collaboration	-0.3375	-0.7195	1	63	209	29	2021.7931
9	collaborative robot	-0.2134	-0.7575	1	34	82	9	2022
10	communication technology	-0.4525	1.0144	1	42	113	13	2020.2308
11	community	-0.0547	0.6973	1	58	148	18	2020.6667
12	control	0.4438	-0.506	2	61	284	22	2021.5909
13	core	-0.6359	0.8072	1	30	46	8	2021
14	covid	0.3965	0.0143	2	69	254	17	2021.2941
15	customer	-0.2235	-0.8174	1	42	74	11	2021.2727
16	customization	-0.2994	0.0942	1	42	87	13	2021.4615
17	cyber physical system	-0.805	-0.2837	1	46	101	15	2021.1333
18	cyberspace	-0.7652	0.9252	1	33	88	10	2020.3
19	decision making	0.1728	0.8356	1	27	50	8	2021.625
20	demand	-0.2288	-0.6258	1	63	131	18	2021.1667
21	digital technology	-0.6044	-0.2874	1	68	190	22	2020.9091
22	digital transformation	0.2742	0.2537	2	77	330	18	2021.2222
23	digital twin	0.4546	-0.1593	2	68	343	24	2021.7083
24	digitalization	-0.4549	0.4221	1	49	105	11	2021.7273
25	ecosystem	-0.6485	-0.128	1	64	161	14	2020.7143
26	education	-0.7276	0.5513	1	48	108	19	2020.8421
27	effort	-0.5101	0.2085	1	61	133	16	2020.375
28	energy	0.4487	0.3756	2	65	260	12	2021.25
29	engineer	1.2191	0.257	2	46	203	9	2021.1111
30	engineering	1.0615	0.32	2	45	206	12	2020.5
31	equipment	-0.2755	-0.189	1	35	65	12	2021.8333
32	factory	0.4499	-0.316	2	71	353	25	2021.16
33	fifth industrial revolution	-0.5777	-0.4913	1	50	134	19	2021.2105
34	flexibility	-0.7364	-0.5039	1	33	71	13	2021.7692
35	fourth industrial revolution	-0.0864	0.5848	1	53	132	17	2020.8235
36	government	-0.6994	0.5762	1	58	181	16	2020.25
37	healthcare	0.3059	-0.165	2	69	303	20	2021.25
38	human centric	0.289	-0.6869	3	30	75	10	2021.5
39	human centric solution	-0.4661	-0.7396	1	37	80	8	2021.125
40	human operator	-0.5336	-0.9786	1	29	55	9	2021.4444
41	identification	1.0154	-0.0147	2	59	269	17	2021.4706
42	improvement	0.5855	-0.1827	2	75	313	21	2021.4286
43	industrial revolution	-0.7904	0.135	1	72	235	32	2021.0312
44	information	-0.3883	0.4861	1	76	261	33	2020.8182
45	interaction	-0.5371	-0.1801	1	66	214	31	2021.3226
46	job	-0.1271	-0.6272	1	49	110	13	2020.7692
47	knowledge	-0.2864	0.4399	1	64	164	21	2020.5238
48	logistic	1.2012	-0.2845	2	46	218	10	2021.2
49	machine learning	-0.0428	-0.463	1	48	99	9	2021
50	mass customization	0.831	0.4061	2	55	242	14	2020.7143
51	mass production	-0.1978	0.9546	1	41	73	11	2021.1818
52	new paradigm	-0.2987	-0.4265	1	47	74	8	2020.75
53	new technology	-0.5238	-0.5138	1	34	62	10	2021.1
54	operation	0.753	-0.462	2	63	282	19	2021.3158
55	operator	0.6778	-0.5986	2	65	330	28	2021.4286
56	opportunity	-0.8117	-0.0125	1	70	281	34	2021.2647
57	optimization	1.0081	-0.0965	2	58	260	14	2021.2857
58	organization	-0.3791	0.3045	1	70	224	23	2020.8696
59	paradigm	0.3863	0.0638	2	80	388	33	2021.5455
60	paradigm shift	-0.6883	-0.581	1	38	72	11	2021.2727
61	performance	0.604	0.1082	2	74	335	28	2021.5
62	person	-0.5971	0.2354	1	72	219	25	2020.76
63	personalization	-0.2352	0.1794	1	58	169	24	2021.5417
64	physical space	-0.7966	0.7425	1	36	72	8	2020.75
65	platform	0.3491	0.5851	2	78	342	20	2020.7
66	possibility	-0.5193	-0.4201	1	35	73	10	2021.9
67	production process	-0.1027	-0.4085	1	60	128	18	2021.5
68	production system	0.4017	0.2482	2	69	313	25	2021.4
69	progress	-0.6449	0.6341	1	44	132	11	2020
70	quality	0.4062	0.3369	2	75	295	21	2020.8571
71	resilience	0.8665	-0.4074	2	59	253	17	2021.2941
72	revolution	-0.6324	0.1022	1	65	169	23	2021.3478
73	risk	0.8807	-0.3264	2	59	216	11	2020.8182
74	robotic	0.2447	0.1953	2	78	392	27	2020.7037
75	robotics	-0.3996	0.0517	1	27	38	9	2020.7778
76	sensor	-0.3386	-0.2325	1	55	99	12	2020.9167
77	shift	-0.1448	0.1975	1	40	84	14	2021.4286
78	simulation	0.9736	0.4056	2	57	272	17	2021.5294
79	skill	-0.7823	0.2259	1	57	156	19	2020.7895
80	smart manufacturing	0.7765	-0.4042	2	65	254	15	2020.8667
81	strategy	-0.1323	0.4056	1	66	206	23	2020.5652
82	student	-0.8836	0.2322	1	39	64	10	2020.7
83	supply chain	0.5216	-0.4531	2	66	302	17	2021.3529
84	supply chain management	1.324	-0.2416	2	47	202	8	2021.125
85	support	0.5083	0.6141	2	62	243	13	2020.8462
86	sustainability	0.3265	-0.0246	2	77	381	33	2021.2727
87	sustainable manufacturing	1.3929	0.2602	2	44	208	8	2021.375
88	technique	0.6581	0.5133	2	70	314	24	2021.2917
89	technological innovation	-0.869	-0.0567	1	45	87	8	2020.875
90	training	-0.8639	-0.2357	1	41	59	10	2021.1
91	transformation	-0.2455	-0.0746	1	74	229	30	2021
92	transition	-0.5551	-0.7175	1	41	84	14	2021.6429
93	uncertainty	0.4836	0.6021	2	71	255	11	2020.4545
94	user	-0.4779	-0.0808	1	59	113	15	2021.0667
