id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1	ability	-0.2905	-0.2576	1	89	252	33	2020.9697
2	activity	-0.3295	-0.4405	1	104	686	87	2020.8621
3	adoption	0.3154	-0.3539	3	88	293	38	2021.3158
4	advance	0.2959	0.2192	2	101	584	52	2021.1154
5	agriculture	-0.7169	0.8217	1	57	146	24	2020.9167
6	architecture	0.1563	0.5557	4	107	634	77	2021.1688
7	attention	-0.1477	-0.8074	1	84	285	40	2021.05
8	big data	-0.6914	0.6579	4	97	591	64	2020.4219
9	blockchain	0.305	0.9279	2	94	579	58	2021.3621
10	center	0.2618	-0.9752	3	82	268	30	2021.3667
11	challenges	-0.529	0.5251	4	62	197	27	2021.5185
12	collaboration	0.6193	-0.5553	3	97	552	67	2021.6567
13	collaborative robot	1.0041	-0.3631	3	71	265	28	2021.4286
14	communication	-0.2243	0.6464	4	103	529	56	2021.625
15	communication technology	-0.9047	0.4015	1	71	219	26	2020.5769
16	community	-0.8089	-0.3037	1	96	483	62	2020.9032
17	complexity	0.5209	-0.6103	3	94	336	38	2021.2632
18	condition	-0.568	-0.4661	1	100	498	59	2021.0678
19	control	0.5571	0.5942	2	100	647	70	2021.2429
20	covid	-0.067	0.2685	2	93	542	57	2021.4386
21	customer	-0.1581	0.4974	4	72	202	25	2020.92
22	cyber physical system	0.2812	0.2981	4	89	409	50	2021.14
23	digital transformation	0.3701	0.4955	2	104	599	50	2021.26
24	digital twin	0.8839	0.0855	2	94	562	50	2021.66
25	digitalization	-0.4403	-0.572	1	92	411	53	2021.0189
26	economy	-0.7436	-0.4399	1	101	697	101	2020.9505
27	education	-0.9213	-0.5019	1	92	560	86	2020.8488
28	effect	-0.3759	-0.6255	1	89	326	38	2020.6842
29	effectiveness	-0.3371	0.3915	1	71	207	31	2020.6129
30	efficiency	0.5049	0.3064	2	107	1071	111	2021.3604
31	effort	-0.068	-0.8362	1	91	300	41	2020.7317
32	energy	0.2687	0.4563	2	96	511	40	2021.125
33	engineering	0.6453	-0.0229	2	81	373	44	2020.9545
34	enterprise	-0.5081	0.0996	1	93	374	59	2020.8814
35	expert	-0.124	-0.4163	1	89	257	32	2021.1875
36	factor	0.1856	-0.7621	3	101	593	81	2021.1605
37	factory	0.9577	0.2463	2	95	554	52	2020.7885
38	fifth industrial revolution	-0.394	-0.0846	1	94	360	50	2020.74
39	flexibility	0.2358	-0.7668	3	82	268	32	2021.7188
