id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1	advance	0.3019	0.2421	2	77	500	52	2021.1154
2	architecture	0.3155	0.5901	3	81	523	77	2021.1688
3	big data	-0.5773	0.7289	3	75	480	64	2020.4219
4	blockchain	0.7016	0.6111	2	78	524	58	2021.3621
5	challenges	-0.1771	1.0626	3	48	166	27	2021.5185
6	collaboration	0.0825	-0.7204	4	78	542	80	2021.65
7	collaborative robot	0.3512	-0.8011	4	62	241	28	2021.4286
8	communication	-0.0152	0.8624	3	79	445	56	2021.625
9	contribution	-0.4417	0.1088	1	70	233	38	2021.6842
10	covid	0.0778	-0.4778	2	73	448	57	2021.4386
11	customer	-0.3343	0.3614	1	66	183	25	2020.92
12	cyber physical system	-0.1603	0.4969	3	72	346	50	2021.14
13	digital transformation	0.5086	0.1952	2	80	492	50	2021.26
14	digital twin	0.8409	-0.3602	2	76	470	49	2021.6531
15	digitalization	-0.7439	-0.5501	1	74	348	53	2021.0189
16	economy	-0.8163	-0.4632	1	76	552	101	2020.9505
17	education	-1.0044	-0.3083	1	69	408	86	2020.8488
18	effectiveness	-0.119	-0.0313	1	54	161	31	2020.6129
19	efficiency	0.3386	0.1412	2	82	921	111	2021.3604
20	effort	-0.5499	-0.6791	1	69	233	41	2020.7317
21	energy	0.4439	-0.1074	2	76	440	40	2021.125
22	engineering	0.8363	-0.4981	2	64	313	44	2020.9545
23	enterprise	-0.4318	-0.3682	1	73	293	59	2020.8814
24	factory	0.9682	-0.4116	2	73	472	52	2020.7885
25	fifth industrial revolution	-0.6837	0.4312	1	70	287	50	2020.74
26	flexibility	-0.195	-0.6602	1	67	227	32	2021.7188
27	fourth industrial revolution	-0.7566	0.3398	1	76	388	62	2020.5484
28	government	-0.9406	0.1824	1	70	337	48	2020.25
29	healthcare	0.7656	0.062	2	70	394	38	2021.3947
30	human	-0.1738	-0.3758	4	81	845	127	2021.2047
31	iiot	0.435	1.1821	3	53	207	25	2021.32
32	improvement	0.6013	-0.4509	2	79	543	55	2021.3091
33	industrial internet	0.269	1.1706	3	59	237	38	2021.3158
34	industrial revolution	-0.9391	0.3321	1	78	563	99	2020.7071
35	interaction	0.0134	-0.0307	3	82	638	100	2021.27
36	internet	-0.2386	0.659	3	83	888	117	2021.0256
37	iot	-0.098	0.8105	3	79	669	90	2021.0333
38	issue	0.5397	0.4323	3	82	839	108	2020.8704
39	knowledge	-0.8935	-0.0167	1	77	490	81	2020.6543
40	learning	0.1797	-0.1012	3	80	534	70	2021.2571
41	logistic	0.9221	-0.156	2	76	411	42	2020.9762
42	machine	-0.1576	0.2027	3	83	677	92	2021.2935
43	machine learning	-0.4928	0.8142	3	59	197	25	2021.08
44	manufacturing industry	0.0431	0.272	1	65	230	44	2021.2273
45	manufacturing sector	-0.5673	0.4125	1	57	174	32	2021.3125
46	methodology	-0.4704	-0.5991	1	75	360	63	2021.1905
47	network	0.3867	0.4248	3	81	829	106	2021.066
48	new technology	-0.5958	-0.4867	1	65	190	25	2021.16
49	operation	0.8922	-0.0751	2	78	517	53	2021.3208
50	operator	0.748	-0.6934	2	74	552	62	2021.3871
51	optimization	0.8261	-0.2915	2	73	480	48	2021.2292
52	pandemic	-0.5422	-0.2046	1	71	304	44	2021.5227
53	paradigm	0.3388	-0.3836	2	81	687	86	2021.1279
54	performance	0.79	0.207	2	77	693	102	2021.4216
55	person	-0.6661	-0.2264	1	79	517	89	2020.5843
56	possibility	-0.2184	-0.5566	1	74	283	43	2021.186
57	principle	-0.3564	-0.7623	1	73	273	42	2020.9048
58	production process	-0.2149	-0.2919	1	80	363	50	2021.18
59	productivity	-0.0332	-0.241	4	83	508	63	2021.1111
60	reliability	0.1403	0.7057	3	54	169	27	2020.8889
61	resilience	0.7481	-0.5902	2	72	381	39	2021.4872
62	revolution	-0.5229	0.4841	1	80	449	70	2020.8286
63	risk	0.6619	0.2382	2	79	401	41	2020.6829
64	robot	0.4345	-0.6274	4	79	706	76	2021.0263
65	robotic	0.2865	-0.3091	2	80	673	72	2020.8889
66	safety	0.0324	-0.8203	4	68	262	32	2021.3125
67	science	-0.7616	0.1086	1	73	339	61	2020.541
68	security	-0.022	0.4762	3	79	448	55	2021.0364
69	sensor	0.0276	0.6804	3	74	352	46	2021.0435
70	simulation	1.2204	-0.0679	2	67	391	42	2021.619
71	skill	-0.8894	-0.1103	1	76	432	64	2020.9531
72	smart manufacturing	0.8623	0.6221	2	71	420	48	2020.9167
73	strategy	-0.7595	0.1803	1	83	718	107	2020.7383
74	supply chain	0.3836	-0.2253	2	81	643	90	2021.3778
75	supply chain management	1.3035	0.0783	2	60	297	27	2021.4444
76	sustainability	0.1959	-0.5489	2	80	769	98	2021.3469
77	sustainable development	-0.6912	-0.1464	1	68	307	38	2021.3947
78	technique	0.3153	0.4878	3	81	649	89	2021.2135
79	technological innovation	-0.9198	-0.2363	1	59	200	26	2020.8462
80	training	-0.8382	-0.3883	1	69	220	33	2021.1515
81	transition	-0.7045	-0.0474	1	75	390	67	2021.2836
82	uncertainty	0.985	0.048	2	65	287	27	2020.9259
83	user	-0.3862	-0.0108	3	71	279	40	2021.125
84	worker	-0.0148	-0.9363	4	67	379	63	2021.1111
