id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1	blockchain	0.7965	0.1396	2	18	69	8	2021.375
2	collaboration	-0.9959	0.3189	1	15	34	14	2021.9286
3	company	-0.5884	0.1928	1	17	28	10	2021.5
4	digital transformation	0.467	0.2338	2	22	77	10	2021.4
5	direction	-0.4704	-0.207	1	21	52	13	2021.3077
6	economy	-0.4645	-0.0783	1	18	31	11	2020.9091
7	era	1.0744	0.2858	2	15	64	8	2021.25
8	human	-0.8759	0.1784	1	22	63	21	2021.7143
9	innovation	-0.7633	-0.1231	1	20	60	20	2021.3
10	internet	-0.0779	-0.2841	1	21	44	11	2021.0909
11	manufacturing planning	1.1892	0.0384	2	14	63	8	2021.375
12	operations management	0.9568	-0.2026	2	17	75	9	2021.4444
13	pandemic	-0.615	-0.0302	1	14	30	9	2021.8889
14	principle	-0.5923	-0.2491	1	18	33	8	2021.375
15	production process	-0.192	-0.4644	1	14	27	7	2021.2857
16	production system	1.1961	0.2502	2	14	63	7	2021.2857
17	productivity	-0.8646	-0.0622	1	19	41	13	2021.0769
18	resilient industry	-1.1553	0.2042	1	10	22	7	2022.1429
19	risk	0.4508	0.0802	2	20	76	13	2020.8462
20	robotic	0.6309	-0.2256	2	21	83	9	2020.8889
21	simulation	0.7258	-0.2988	2	20	82	11	2021.3636
22	smart manufacturing	0.6428	-0.0218	2	23	72	9	2021.2222
23	supply chain management	1.0446	-0.144	2	17	71	9	2021.4444
24	sustainable development	-0.8021	-0.2865	1	15	30	9	2021.8889
25	transition	-0.7305	0.1725	1	17	41	13	2021.7692
26	uncertainty	0.6593	0.2651	2	20	72	10	2020.6
27	work	-0.6458	0.3178	1	20	45	17	2021.4118
