id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1	activity	0.2948	-0.4026	2	92	817	109	2021.0183
2	adoption	-0.0468	-0.1474	1	80	380	49	2021.3878
3	architecture	-0.5736	0.3981	3	89	775	98	2021.2245
4	attention	0.5106	-0.5972	2	75	336	53	2021.2642
5	basis	0.9333	-0.1445	2	81	476	58	2021.0172
6	big data	0.186	0.8437	3	87	731	81	2020.5926
7	blockchain	-0.5658	0.6928	3	86	628	70	2021.3429
8	capability	-0.121	0.3511	3	85	526	67	2021.4627
9	change	0.4366	0.2195	2	93	1290	148	2021.1149
10	characteristic	-0.0381	-0.7957	1	85	447	58	2021.3103
11	collaboration	-0.5693	-0.4592	1	90	882	107	2021.5888
12	collaborative robot	-0.9764	-0.4371	1	67	397	43	2021.3953
13	communication	-0.4426	0.5622	3	91	678	76	2021.6184
14	comparison	-0.2458	-0.5217	1	79	290	34	2020.9706
15	condition	0.5	-0.1359	2	89	601	69	2021.029
16	control	-0.7869	0.039	1	87	706	84	2021.2262
17	country	0.8694	0.4106	2	82	562	66	2020.6061
18	covid	0.2438	-0.1959	2	84	636	68	2021.4265
19	customer	-0.0469	0.6608	3	77	371	41	2020.7073
20	cyber physical system	-0.581	0.3043	3	81	564	67	2021.194
21	difference	0.4436	-0.6716	2	74	271	37	2021
22	digital technology	0.3447	0.7153	3	87	489	48	2021.0833
23	digital twin	-0.9511	-0.0059	1	86	585	57	2021.7544
24	digitalization	0.5174	-0.4412	2	85	565	68	2021.1618
25	economy	0.7651	-0.2919	2	93	962	123	2021
26	education	1.0699	-0.2287	2	80	548	83	2020.8554
27	effectiveness	-0.3424	-0.6981	1	61	228	36	2020.6389
28	efficiency	-0.6018	0.1228	1	92	1301	149	2021.4161
29	energy	-0.209	0.1933	1	85	532	51	2021.3333
30	enterprise	0.2071	-0.6903	1	86	571	77	2021.026
31	factor	-0.0345	-0.8516	1	91	821	109	2021.2202
32	factory	-0.9415	-0.123	1	82	622	67	2020.9403
33	fifth industrial revolution	0.2155	0.3128	2	82	458	59	2020.7797
34	flexibility	0.1031	-0.7971	1	77	347	39	2021.6667
35	fourth industrial revolution	0.4093	0.6477	2	82	574	69	2020.6377
36	goal	0.3952	-0.1212	2	92	944	110	2021.2636
37	government	1.1056	0.0907	2	77	516	62	2020.5645
38	healthcare	-0.7057	0.5015	3	74	511	52	2021.4423
39	human	-0.2476	-0.2578	1	93	1293	161	2021.2919
40	identification	-0.5992	0.2173	1	86	532	50	2021.24
41	iiot	-0.8668	0.9975	3	63	306	34	2021.3824
42	impact	0.5343	-0.3031	2	93	1303	163	2020.9939
43	improvement	-0.5361	-0.6273	1	89	681	69	2021.3913
44	indonesia	1.2517	0.2648	2	57	202	36	2020.6389
45	industrial internet	-0.4635	1.0443	3	74	403	48	2021.25
46	industrial revolution	0.6459	0.5414	2	90	882	116	2020.8103
47	influence	0.3472	-0.7245	1	74	344	46	2021.2826
48	innovation	0.6724	0.0786	2	91	1073	139	2020.9784
49	interaction	-0.4994	-0.3395	1	94	1037	131	2021.2977
50	internet	-0.0795	0.7853	3	94	1393	149	2021.1275
51	iot	-0.4014	0.7969	3	92	1053	111	2021.1532
52	japan	0.9964	0.4317	2	76	491	52	2019.8462
53	knowledge	0.6956	-0.0498	2	91	788	98	2020.7143
54	life	0.6543	0.6975	2	89	814	99	2020.3737
55	logistic	-0.6926	-0.1305	1	81	458	51	2020.9216
56	machine	-0.344	0.3778	3	94	939	111	2021.3423
57	machine learning	-0.095	0.9112	3	77	328	36	2021.0556
58	manufacturing industry	-0.2031	0.4757	3	66	373	59	2021.2881
59	manufacturing sector	0.2732	0.5632	2	65	297	41	2021.3902
60	methodology	0.154	-0.5948	1	90	620	77	2021.1818
61	new technology	0.3499	-0.2449	2	75	326	32	2021.2812
62	operation	-0.7117	-0.2173	1	88	658	69	2021.3043
63	operator	-0.8915	-0.5582	1	85	820	90	2021.4333
64	optimization	-0.9449	-0.2521	1	82	625	62	2021.2419
65	pandemic	0.8095	0.0544	2	78	484	57	2021.4737
66	paradigm	-0.277	-0.0779	1	90	954	113	2021.292
67	performance	-0.5027	-0.0858	1	90	1030	135	2021.4296
68	person	0.3982	0.0194	2	93	790	94	2020.6383
69	possibility	-0.0282	-0.5475	1	83	415	49	2021.3878
70	principle	0.1981	-0.7947	1	83	408	54	2020.9444
71	production process	-0.1553	-0.6187	1	89	579	68	2021.3088
72	productivity	-0.3059	0.0093	1	93	828	86	2021.1628
73	relationship	0.7934	-0.6419	2	75	393	63	2020.873
74	requirement	-0.3956	-0.1809	1	88	551	75	2021.5733
75	resilience	-0.4591	-0.5011	1	81	428	46	2021.6522
76	revolution	0.1159	0.7856	3	88	717	89	2020.8989
77	robot	-0.6766	-0.4702	1	90	923	96	2021.1146
78	robotic	-0.3898	0.2061	1	91	864	87	2020.931
79	safety	-0.2661	-0.8158	1	78	440	45	2021.2222
80	sector	0.4424	0.4336	2	92	778	103	2020.7961
81	security	0.0176	0.3893	3	88	678	73	2020.9726
82	sensor	-0.6347	0.5402	3	82	529	59	2021.0508
83	simulation	-1.1621	-0.158	1	78	541	63	2021.6032
84	skill	0.6714	-0.2686	2	86	624	72	2020.9861
85	smart manufacturing	-1.0038	0.3893	1	75	449	48	2020.9583
86	society	0.5352	0.3582	2	94	2419	373	2020.6729
87	strategy	0.6347	0.3057	2	94	1175	136	2020.8529
88	student	1.0084	-0.3694	2	70	242	42	2020.6905
89	sustainable development	0.676	-0.4252	2	81	479	47	2021.2766
90	task	-0.6651	-0.7873	1	80	605	72	2021.4583
91	technological innovation	0.8936	0.3323	2	74	341	34	2020.7647
92	thing	-0.3284	0.89	3	94	1403	151	2021.1854
93	transition	0.5564	0.1216	2	88	683	86	2021.3488
94	user	0.0616	0.5398	3	80	453	58	2021.1552
95	worker	-0.3314	-0.8234	1	85	684	89	2021.1461
