id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1	activity	0.2808	-0.4609	2	92	817	109	2021.0183
2	adoption	-0.0105	-0.307	1	80	380	49	2021.3878
3	architecture	-0.5941	0.3893	3	89	775	98	2021.2245
4	attention	0.4575	-0.6243	2	75	336	53	2021.2642
5	basis	0.9099	-0.1545	2	81	476	58	2021.0172
6	big data	0.2024	0.8217	3	87	731	81	2020.5926
7	blockchain	-0.4622	0.7391	3	86	628	70	2021.3429
8	capability	-0.125	0.424	3	85	526	67	2021.4627
9	change	0.4793	0.2313	2	93	1290	148	2021.1149
10	characteristic	-0.0589	-0.8076	1	85	447	58	2021.3103
11	collaboration	-0.5813	-0.4499	1	90	882	107	2021.5888
12	collaborative robot	-1.0009	-0.3222	1	67	397	43	2021.3953
13	communication	-0.4318	0.5524	3	91	678	76	2021.6184
14	comparison	-0.1906	-0.5619	1	79	290	34	2020.9706
15	condition	0.4643	-0.0721	2	89	601	69	2021.029
16	control	-0.7722	0.0634	1	87	706	84	2021.2262
17	country	0.8783	0.3063	2	82	562	66	2020.6061
18	covid	0.2501	-0.1703	2	84	636	68	2021.4265
19	customer	-0.0671	0.6622	3	77	371	41	2020.7073
20	cyber physical system	-0.6301	0.2333	3	81	564	67	2021.194
21	difference	0.4199	-0.6879	2	74	271	37	2021
22	digital technology	0.3607	0.7045	3	87	489	48	2021.0833
23	digital twin	-0.9106	0.0572	1	86	585	57	2021.7544
24	digitalization	0.4539	-0.4357	2	85	565	68	2021.1618
25	economy	0.7499	-0.3188	2	93	962	123	2021
26	education	1.0302	-0.2136	2	80	548	83	2020.8554
27	effectiveness	-0.3565	-0.7312	1	61	228	36	2020.6389
28	efficiency	-0.6092	0.1127	1	92	1301	149	2021.4161
29	energy	-0.2122	0.3243	1	85	532	51	2021.3333
30	enterprise	0.22	-0.7523	1	86	571	77	2021.026
31	factor	-0.0387	-0.8364	1	91	821	109	2021.2202
32	factory	-0.9246	-0.0453	1	82	622	67	2020.9403
33	fifth industrial revolution	0.2383	0.378	2	82	458	59	2020.7797
34	flexibility	0.0731	-0.8122	1	77	347	39	2021.6667
35	fourth industrial revolution	0.396	0.6531	2	82	574	69	2020.6377
36	goal	0.4494	-0.2014	2	92	944	110	2021.2636
37	government	1.0634	-0.0102	2	77	516	62	2020.5645
38	healthcare	-0.575	0.6383	3	74	511	52	2021.4423
39	human	-0.2646	-0.3254	1	93	1293	161	2021.2919
40	identification	-0.563	0.2787	1	86	532	50	2021.24
41	iiot	-0.8684	0.9721	3	63	306	34	2021.3824
42	impact	0.5669	-0.3272	2	93	1303	163	2020.9939
43	improvement	-0.4997	-0.6268	1	89	681	69	2021.3913
44	indonesia	1.1889	0.3592	2	57	202	36	2020.6389
45	industrial internet	-0.377	1.0158	3	74	403	48	2021.25
46	industrial revolution	0.6377	0.5272	2	90	882	116	2020.8103
47	influence	0.364	-0.7167	1	74	344	46	2021.2826
48	innovation	0.675	0.0791	2	91	1073	139	2020.9784
49	interaction	-0.5217	-0.352	1	94	1037	131	2021.2977
50	internet	-0.0474	0.7792	3	94	1393	149	2021.1275
51	iot	-0.365	0.7811	3	92	1053	111	2021.1532
52	japan	0.9426	0.4384	2	76	491	52	2019.8462
53	knowledge	0.711	-0.1257	2	91	788	98	2020.7143
54	life	0.601	0.7062	2	89	814	99	2020.3737
55	logistic	-0.6593	-0.2015	1	81	458	51	2020.9216
56	machine	-0.3774	0.4238	3	94	939	111	2021.3423
57	machine learning	-0.0188	0.8948	3	77	328	36	2021.0556
58	manufacturing industry	-0.2025	0.4977	3	66	373	59	2021.2881
59	manufacturing sector	0.291	0.5499	2	65	297	41	2021.3902
60	methodology	0.1404	-0.6276	1	90	620	77	2021.1818
61	new technology	0.398	-0.3376	2	75	326	32	2021.2812
62	operation	-0.6993	-0.2813	1	88	658	69	2021.3043
63	operator	-0.9029	-0.5	1	85	820	90	2021.4333
64	optimization	-0.9237	-0.1742	1	82	625	62	2021.2419
65	pandemic	0.8004	0.1726	2	78	484	57	2021.4737
66	paradigm	-0.2893	-0.0578	1	90	954	113	2021.292
67	performance	-0.4947	-0.073	1	90	1030	135	2021.4296
68	person	0.4143	0.0451	2	93	790	94	2020.6383
69	possibility	-0.0632	-0.5843	1	83	415	49	2021.3878
70	principle	0.1709	-0.82	1	83	408	54	2020.9444
71	production process	-0.2187	-0.6524	1	89	579	68	2021.3088
72	productivity	-0.3933	0.0748	1	93	828	86	2021.1628
73	relationship	0.7583	-0.6675	2	75	393	63	2020.873
74	requirement	-0.5415	-0.1802	1	88	551	75	2021.5733
75	resilience	-0.4609	-0.5111	1	81	428	46	2021.6522
76	revolution	0.114	0.7769	3	88	717	89	2020.8989
77	robot	-0.6507	-0.486	1	90	923	96	2021.1146
78	robotic	-0.3971	0.3123	1	91	864	87	2020.931
79	safety	-0.2533	-0.8304	1	78	440	45	2021.2222
80	sector	0.4583	0.4657	2	92	778	103	2020.7961
81	security	0.0436	0.4324	3	88	678	73	2020.9726
82	sensor	-0.6601	0.484	3	82	529	59	2021.0508
83	simulation	-1.1459	-0.1753	1	78	541	63	2021.6032
84	skill	0.6651	-0.35	2	86	624	72	2020.9861
85	smart manufacturing	-0.9639	0.4112	1	75	449	48	2020.9583
86	society	0.5148	0.3987	2	94	2419	373	2020.6729
87	strategy	0.6245	0.2941	2	94	1175	136	2020.8529
88	student	0.9885	-0.3219	2	70	242	42	2020.6905
89	sustainable development	0.606	-0.4823	2	81	479	47	2021.2766
90	task	-0.6463	-0.7624	1	80	605	72	2021.4583
91	technological innovation	0.8488	0.4406	2	74	341	34	2020.7647
92	thing	-0.2676	0.8662	3	94	1403	151	2021.1854
93	transition	0.6633	-0.0062	2	88	683	86	2021.3488
94	user	0.064	0.5705	3	80	453	58	2021.1552
95	worker	-0.3395	-0.807	1	85	684	89	2021.1461
