id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1	additive manufacturing	0.8011	-0.5322	2	53	208	12	2020.5833
2	advance	0.5715	-0.6491	2	60	235	16	2020.5625
3	advantage	-0.4847	-0.1347	1	58	160	17	2021.1765
4	big data	-0.1507	-0.788	1	56	167	17	2020.3529
5	blockchain	0.1651	0.1506	2	69	315	20	2021.4
6	capability	-0.6927	-0.2136	1	69	218	28	2021.25
7	center	-0.0482	0.6719	1	55	142	19	2021.4737
8	classification	1.2436	0.3028	2	44	198	9	2021.3333
9	collaboration	-0.4702	0.4629	1	69	257	32	2021.6875
10	collaborative robot	-0.5716	0.5688	1	36	92	10	2022
11	communication technology	-0.4114	-1.0713	1	38	90	12	2020.0833
12	component	-0.2266	-0.177	1	54	147	19	2021.3158
13	condition	-0.1749	0.7337	1	51	144	18	2021.7222
14	control	0.412	0.6472	2	62	279	22	2021.5909
15	covid	0.5162	0.2919	2	59	234	18	2021.1667
16	customer	-0.833	0.2038	1	41	87	12	2021.1667
17	customization	-0.4685	-0.012	1	43	89	14	2021.5
18	cyber physical system	-0.8686	-0.0056	1	52	105	15	2021.1333
19	decision making	0.1869	-0.4915	1	36	69	9	2021.5556
20	definition	-0.7398	0.3734	1	42	119	16	2021.8125
21	demand	-0.4155	0.4823	1	63	166	21	2021.0476
22	difference	-0.7841	0.1558	1	35	52	9	2021.1111
23	digital technology	-0.71	-0.3089	1	62	190	22	2020.9091
24	digital transformation	0.3264	-0.4355	2	74	326	19	2021.2632
25	digital twin	0.5253	0.3926	2	67	337	24	2021.7083
26	digitalization	-0.2445	0.1144	1	46	94	13	2021.7692
27	ecosystem	-0.4066	0.2645	1	60	159	14	2020.6429
28	education	-0.2668	-0.4247	1	37	77	18	2020.7778
29	emergence	-0.2509	0.8935	1	38	67	10	2020.9
30	energy	0.5367	0.5044	2	59	237	12	2021.25
31	engineer	1.3866	0.0801	2	44	189	9	2021.1111
32	factory	0.3993	0.1646	2	70	358	25	2021.08
33	fifth industrial revolution	-0.6733	0.1479	1	50	156	22	2021.1364
34	flexibility	-0.5049	0.7825	1	35	82	13	2021.6923
35	fourth industrial revolution	0.1234	-0.8534	1	44	120	17	2020.8235
36	future	0.3027	0.2709	2	79	397	38	2020.6579
37	government	-0.5317	-0.5163	1	52	160	15	2020.2
38	healthcare	0.2266	-0.1892	2	64	295	21	2021.1429
39	human centric	0.2485	1.0554	1	32	86	11	2021.5455
40	human operator	-0.8329	0.4893	1	30	69	10	2021.3
41	identification	0.839	0.1393	2	60	269	17	2021.4706
42	industrial revolution	-0.8672	-0.2881	1	64	254	35	2020.9143
43	interaction	-0.622	0.3448	1	64	239	34	2021.2941
44	internet	-0.1856	-0.6422	1	74	292	31	2021
45	knowledge	-0.0451	-0.3743	1	64	162	22	2020.3636
46	learning	0.3533	0.433	2	63	293	26	2021.3077
47	logistic	1.2579	-0.0294	2	43	200	10	2021.2
48	machine learning	-0.4548	-0.696	1	43	118	12	2021
49	mass customization	0.7915	-0.5759	2	51	223	14	2020.6429
50	mass production	-0.257	-0.6549	1	42	77	12	2021.1667
51	new technology	-0.6125	0.892	1	30	57	10	2021.1
52	operation	0.7633	0.5367	2	63	279	19	2021.3158
53	operator	0.6541	0.6479	2	63	330	28	2021.4286
54	opportunity	-0.8028	-0.1913	1	69	296	35	2021.2286
55	optimization	0.994	-0.1267	2	57	257	14	2021.3571
56	organization	-0.3586	0.0049	1	68	226	22	2020.8182
57	paradigm shift	-0.9934	0.0797	1	37	67	10	2021.2
58	performance	0.5371	-0.1084	2	72	334	28	2021.4643
59	person	-0.6802	-0.0422	1	72	226	25	2020.64
60	personalization	-0.5291	-0.4299	1	65	211	29	2021.5172
61	platform	0.5555	-0.2625	2	73	340	21	2020.6667
62	production process	-0.289	0.5125	1	63	145	19	2021.5263
63	production system	0.5906	0.1347	2	65	298	25	2021.36
64	progress	-0.4903	-0.9021	1	46	131	11	2019.9091
65	quality	0.4488	0.5153	2	70	285	22	2020.8636
66	resilience	0.9813	0.3982	2	56	238	17	2021.2941
67	revolution	-0.7957	-0.4047	1	64	187	25	2021.24
68	risk	1.0119	-0.3414	2	56	205	12	2020.8333
69	robotic	0.3447	-0.5521	2	71	355	26	2020.5769
70	sensor	-0.4394	-0.1743	1	58	115	13	2020.9231
71	shift	-0.2425	0.2904	1	39	86	14	2021.4286
72	simulation	0.9474	-0.0167	2	61	276	18	2021.5
73	skill	-0.2804	-0.7915	1	49	138	18	2020.6667
74	smart manufacturing	0.7841	-0.0639	2	63	242	14	2020.9286
75	strategy	-0.1297	0.0241	1	69	226	25	2020.6
76	supply chain	0.3521	0.0887	2	65	308	18	2021.3889
77	sustainability	0.3667	-0.0453	2	72	357	33	2021.2424
78	sustainable manufacturing	1.2278	-0.4852	2	42	207	9	2021.4444
79	task	0.1547	0.6476	1	59	159	21	2021.4286
80	technique	0.5543	-0.596	2	67	317	26	2021.3077
81	technological innovation	-0.7292	0.6452	1	38	83	9	2020.7778
82	thing	-0.0358	-0.6592	1	68	226	21	2021.0952
83	transformation	-0.2734	-0.3452	1	67	231	29	2021
84	transition	-0.772	-0.6442	1	38	83	14	2021.6429
85	uncertainty	0.7873	-0.1689	2	63	227	10	2020.5
86	user	-0.5365	0.2672	1	53	106	15	2021
87	worker	-0.0849	0.6081	1	65	233	37	2021.2432
