id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>
1	blockchain	0.6094	-0.1841	2	32	128	9	2021.4444
2	business	-0.3087	0.556	3	30	55	8	2021.625
3	capability	-0.0428	-0.0682	1	21	52	9	2021.8889
4	center	-0.6797	-0.3001	1	22	64	11	2021.4545
5	classification	0.8919	0.2834	2	31	123	6	2021
6	collaboration	-0.5633	0.4018	3	39	132	19	2021.8947
7	collaborative robot	-0.7221	0.5048	3	20	64	7	2022
8	company	-0.2274	-0.2644	1	33	65	12	2021.5833
9	comparison	-0.2152	0.2053	1	26	48	6	2021.8333
10	connection	-0.0472	-0.3412	1	17	37	6	2022
11	cooperation	-1.0766	-0.2778	1	12	35	6	2021.5
12	cost	0.1805	-0.4573	1	22	62	10	2022.2
13	crucial role	1.1117	-0.2347	2	27	115	6	2021.1667
14	decision	-0.4462	0.2745	3	32	64	10	2021.4
15	digital twin	0.8619	0.3646	2	31	123	6	2021
16	driver	0.2785	-0.0548	1	18	46	9	2021.8889
17	dynamic development	0.0443	-0.6642	1	14	36	7	2022
18	energy	0.8009	-0.2626	2	31	128	7	2021.2857
19	engineer	0.5859	-0.243	2	34	135	8	2021.625
20	era	1.007	0.4417	2	26	125	9	2021.3333
21	european commission	-0.2281	-0.5095	1	22	43	6	2021.6667
22	future challenge	1.423	0.1428	2	23	111	6	2020.5
23	future factory	-1.0411	0.7775	3	12	54	6	2022
24	government	-0.2615	-0.6172	1	18	40	7	2020.7143
25	human	-0.3823	0.2821	3	53	187	27	2021.963
26	human centric	-0.7272	-0.3023	1	22	78	10	2021.9
27	human centricity	-0.7298	0.0341	3	25	73	10	2022
28	human operator	-1.1087	0.4392	3	16	64	8	2021.75
29	humanity	-1.021	-0.1276	1	14	34	6	2021.3333
30	implementation	0.1294	-0.2533	1	33	54	11	2021.4545
31	influence	-0.8792	0.1488	1	17	43	9	2021.4444
32	innovation	-0.2643	-0.2325	1	40	142	25	2021.52
33	intelligent system	0.732	0.4221	2	31	121	7	2021.1429
34	knowledge	-0.4378	-0.6428	1	21	52	9	2021.6667
35	logistic	0.688	0.4052	2	31	124	7	2021.2857
36	manufacturing planning	1.1488	-0.0304	2	25	122	8	2021.375
37	mass customization	1.1214	0.3444	2	27	117	6	2021.1667
38	new trend	1.0004	-0.1561	2	27	116	6	2021.1667
39	next generation	-1.0622	0.7559	3	12	54	6	2022
40	operations management	0.8083	-0.1236	2	30	146	11	2021.5455
41	organization	-0.199	-0.2121	1	35	80	12	2021.9167
42	pandemic	-0.3923	-0.3564	1	24	59	12	2021.75
43	platform	0.5593	-0.07	2	38	138	10	2021.4
44	possibility	-0.7449	0.4064	3	17	44	6	2021.5
45	production process	-0.2974	-0.0674	1	29	75	10	2021.3
46	production system	1.026	0.4114	2	26	125	8	2021.375
47	productivity	-0.4507	-0.0826	1	37	114	17	2021.1765
48	quality	0.8765	0.3269	2	31	123	6	2021
49	recent advance	1.1703	0.1004	2	26	118	7	2021.2857
50	resilient	-0.6473	-0.1381	1	19	39	7	2021.7143
51	resilient capability	-1.0829	0.7325	3	12	54	6	2022
52	resilient industry	-0.2812	0.0007	1	25	79	12	2022.1667
53	roadmap	-0.3754	-0.6859	1	19	50	7	2022.2857
54	scheduling	0.8703	-0.057	2	29	137	10	2021.4
55	smart manufacturing	0.7159	0.3027	2	36	133	9	2021.2222
56	supply chain management	0.7563	0.1118	2	33	141	9	2021.4444
57	sustainable development	-0.1873	-0.3172	1	30	71	10	2021.9
58	sustainable development goal	-0.3281	-0.6124	1	15	37	7	2022
59	sustainable manufacturing	0.9948	-0.1889	2	27	116	6	2021.1667
60	transition	-0.0041	0.1569	1	31	84	16	2021.75
61	trend	-0.1447	0.1109	1	35	116	17	2021.5882
62	uncertainty	0.427	0.0557	2	38	136	10	2020.6
63	understanding	-0.7378	-0.5257	1	22	77	13	2021.7692
64	value	-0.1012	-0.3055	1	38	92	12	2021.75
65	work	-0.4625	0.2956	3	39	144	25	2021.56
66	worker	-0.9521	0.0539	1	30	131	19	2021.5789
67	workplace	-0.9583	0.1167	1	18	51	7	2021.4286
